source,title,url,agency,notice_id,notice_type,posted,deadline,description,tags,key,new
sam.gov,Enterprise Management & Control (EM&C) System Integrator Requirement,https://sam.gov/workspace/contract/opp/c66e445c26224bc3aa0e7b28b1e05d76/view,USSF,c66e445c26224bc3aa0e7b28b1e05d76,Sources Sought,2026-09-18,2026-10-02,"DEPT OF DEFENSE.DEPT OF THE AIR FORCE.SPACE SYSTEMS COMMAND.PEO MILITARY COMMUNICATION AND POSITION NAVIGATION TIMING.FA8807 MIL COMM AND PNT SSC/CGK | NAICS 541512 | PSC R425 | set-aside: No Set aside used | EL SEGUNDO, CA","['space', 'pnt']",7e9a38174db535c8,True
sam.gov,Auto Doors Maintenance Services,https://sam.gov/workspace/contract/opp/99a3ca97354d445592ef089d4e5cd6d2/view,USSF,99a3ca97354d445592ef089d4e5cd6d2,Solicitation,2026-09-18,2026-09-21,"DEPT OF DEFENSE.DEPT OF THE AIR FORCE.SPACE SYSTEMS COMMAND.FA2521  45 CONS PK | NAICS 238290 | PSC J056 | set-aside: Small Business Set Aside - Total | PATRICK SFB, FL",['space'],9c0f63b4667e877f,True
sam.gov,"Rendezvous, Proximity Operations (RPO) Threat Response (RTR) VICTUS Responsive Launch Space Vehicle (SV)",https://sam.gov/workspace/contract/opp/62446f1684754112be95a66fff02eee3/view,USSF,62446f1684754112be95a66fff02eee3,Sources Sought,2026-09-18,2026-10-19,"DEPT OF DEFENSE.DEPT OF THE AIR FORCE.SPACE SYSTEMS COMMAND.PEO SPACE DOMAIN AWARENESS ANDCOMBAT POWER.FA8819 SDA AND COMBAT POWER SZK-LA | NAICS 541715 | PSC 1555 | set-aside: No Set aside used | EL SEGUNDO, CA","['space', 'launch', 'space domain awareness']",c820d84a08e53a03,True
sam.gov,Keysight Equipment Extended Warranty,https://sam.gov/workspace/contract/opp/47bfe486e95845b78456af944a20b7a0/view,USSF,47bfe486e95845b78456af944a20b7a0,Combined Synopsis/Solicitation,2026-09-18,2026-09-23,"DEPT OF DEFENSE.DEPT OF THE AIR FORCE.SPACE SYSTEMS COMMAND.FA2521  45 CONS PK | NAICS 811210 | PSC J066 | set-aside: No Set aside used | PATRICK SFB, FL",['space'],1f52bfdba88fee78,True
sam.gov,VSFB Chapel Music Services,https://sam.gov/workspace/contract/opp/fb258e77cc234f8bae874e0c1b9eac50/view,USSF,fb258e77cc234f8bae874e0c1b9eac50,Solicitation,2026-09-17,2026-09-22,"DEPT OF DEFENSE.DEPT OF THE AIR FORCE.SPACE SYSTEMS COMMAND.FA4610 30 CONS PK | NAICS 711130 | PSC G002 | set-aside: No Set aside used | VANDENBERG SFB, CA",['space'],668b6b4ca9a8fd31,True
sam.gov,2ROPS FM9 SWIT FULL HD 9-INCH LCD MONITORS,https://sam.gov/workspace/contract/opp/be4a3b0cf4904ae786628c328d1cdaaa/view,USSF,be4a3b0cf4904ae786628c328d1cdaaa,Combined Synopsis/Solicitation,2026-09-17,2026-09-18,"DEPT OF DEFENSE.DEPT OF THE AIR FORCE.SPACE SYSTEMS COMMAND.FA4610 30 CONS PK | NAICS 334310 | PSC 6760 | set-aside: Small Business Set Aside - Total | VANDENBERG SFB, CA",['space'],514ca6076e0ef97a,True
sam.gov,VSFB Heavy Equipment Recovery and Transportation,https://sam.gov/workspace/contract/opp/9047b550092a48b6aa73fd666bd77b47/view,USSF,9047b550092a48b6aa73fd666bd77b47,Combined Synopsis/Solicitation,2026-09-17,2026-09-23,"DEPT OF DEFENSE.DEPT OF THE AIR FORCE.SPACE SYSTEMS COMMAND.FA4610 30 CONS PK | NAICS 488410 | PSC V129 | set-aside: Small Business Set Aside - Total | VANDENBERG SFB, CA",['space'],b70ba4949383ff0c,True
sam.gov,Titian Dorm Beds and Mattress,https://sam.gov/workspace/contract/opp/7fc3538dbf964e18a85082b2dc32df56/view,USSF,7fc3538dbf964e18a85082b2dc32df56,Combined Synopsis/Solicitation,2026-09-17,2026-09-23,"DEPT OF DEFENSE.DEPT OF THE AIR FORCE.SPACE SYSTEMS COMMAND.FA4610 30 CONS PK | NAICS 337122 | PSC 7105 | set-aside: Small Business Set Aside - Total | VANDENBERG SFB, CA",['space'],cbe3c60b3e73bbf6,True
sam.gov,Termite Fumigation,https://sam.gov/workspace/contract/opp/7fae76bf9f284b05aac018bc0649a307/view,USSF,7fae76bf9f284b05aac018bc0649a307,Combined Synopsis/Solicitation,2026-09-16,2026-09-17,"DEPT OF DEFENSE.DEPT OF THE AIR FORCE.SPACE SYSTEMS COMMAND.FA2521  45 CONS PK | NAICS 561710 | PSC S207 | set-aside: Small Business Set Aside - Total | PATRICK SFB, FL",['space'],41e6bfabf2a02c07,True
sam.gov,Sorinex Fitness Training Equipment,https://sam.gov/workspace/contract/opp/7d0beed299c24a3c9122eb8d0c525091/view,USSF,7d0beed299c24a3c9122eb8d0c525091,Combined Synopsis/Solicitation,2026-09-16,2026-09-22,"DEPT OF DEFENSE.DEPT OF THE AIR FORCE.SPACE SYSTEMS COMMAND.FA2521  45 CONS PK | NAICS 339920 | PSC 7830 | set-aside: Small Business Set Aside - Total | PATRICK SFB, FL",['space'],7edb5b0134664096,True
sam.gov,Request for Information (RFI) SG-XX Geosynchronous Space to Space (S2S) Radio Frequency Cross Link,https://sam.gov/workspace/contract/opp/63c7ad7e26e1458aa36497f2cad3d9ed/view,USSF,63c7ad7e26e1458aa36497f2cad3d9ed,Sources Sought,2026-09-16,2026-10-02,"DEPT OF DEFENSE.DEPT OF THE AIR FORCE.SPACE SYSTEMS COMMAND.PEO SPACE DOMAIN AWARENESS ANDCOMBAT POWER.FA8819 SDA AND COMBAT POWER SZK-LA | NAICS None | PSC None | set-aside: none | EL SEGUNDO, CA","['space', 'space domain awareness']",f49aa429f7d8d599,True
sam.gov,Motorola Console Upgrade,https://sam.gov/workspace/contract/opp/4d5a644a8e5a4e3aa49236ce3b0cb72d/view,USSF,4d5a644a8e5a4e3aa49236ce3b0cb72d,Combined Synopsis/Solicitation,2026-09-16,2026-09-24,"DEPT OF DEFENSE.DEPT OF THE AIR FORCE.SPACE SYSTEMS COMMAND.FA2521  45 CONS PK | NAICS 334220 | PSC 5820 | set-aside: No Set aside used | PATRICK SFB, FL",['space'],7b36a2c357a33aea,True
